Timestamp,Component,ErrorType,Metric1,Metric2,RootCause
2025-05-02 15:59:07.427783,Server,PacketDrop,38.14410821056089,0.015273838062884737,PowerIssue
2025-05-02 15:59:37.427783,Firewall,HighLatency,35.616696531444305,0.22669022666851335,SoftwareBug
2025-05-02 16:00:07.427783,BaseStation,PowerFailure,37.23378183853811,0.9718227002619613,NetworkCongestion
2025-05-02 16:00:37.427783,Firewall,HighLatency,31.82765461194804,0.8086042521738348,Misconfiguration
2025-05-02 16:01:07.427783,Firewall,ConnectionReset,62.11334068483314,0.566799843804711,SoftwareBug
2025-05-02 16:01:37.427783,Switch,HighLatency,16.426366372062397,0.23686070944035897,SoftwareBug
2025-05-02 16:02:07.427783,BaseStation,Overload,84.59812924460131,0.01437020592674898,PowerIssue
2025-05-02 16:02:37.427783,BaseStation,Overload,81.24024840313153,0.020861472637409006,NetworkCongestion
2025-05-02 16:03:07.427783,BaseStation,HighLatency,47.64832078552704,0.6119808635302266,PowerIssue
2025-05-02 16:03:37.427783,Firewall,ConfigError,85.27299652785476,0.02183187635242312,NetworkCongestion
2025-05-02 16:04:07.427783,Server,ConnectionReset,24.71450700302933,0.9936301419253727,SoftwareBug
2025-05-02 16:04:37.427783,BaseStation,PacketDrop,1.7565455703966948,0.1833838334937381,HardwareFailure
2025-05-02 16:05:07.427783,LoadBalancer,HighLatency,61.9207925029823,0.7107073618692773,Misconfiguration
2025-05-02 16:05:37.427783,Firewall,PacketDrop,45.79094069647154,0.15505972141241342,SoftwareBug
2025-05-02 16:06:07.427783,Switch,ConnectionReset,56.71645462958706,0.5400934210977145,PowerIssue
2025-05-02 16:06:37.427783,Server,HighLatency,89.9339409018403,0.08061128846621757,Misconfiguration
2025-05-02 16:07:07.427783,LoadBalancer,ConfigError,96.99255735659435,0.7667784245332432,SoftwareBug
2025-05-02 16:07:37.427783,LoadBalancer,PowerFailure,63.4453139755603,0.5849210947248297,NetworkCongestion
2025-05-02 16:08:07.427783,Switch,ConfigError,76.40555898524384,0.08616669340141503,PowerIssue
2025-05-02 16:08:37.427783,Server,ConfigError,8.380843348716427,0.8485861892000055,SoftwareBug
2025-05-02 16:09:07.427783,Firewall,PowerFailure,16.07155848915056,0.547018614776702,NetworkCongestion
2025-05-02 16:09:37.427783,Router,PowerFailure,73.32048049529766,0.921592310013318,NetworkCongestion
2025-05-02 16:10:07.427783,Server,Overload,43.13654563880019,0.9166233736781126,NetworkCongestion
2025-05-02 16:10:37.427783,Switch,PowerFailure,44.59652704044057,0.9205077894865824,Misconfiguration
2025-05-02 16:11:07.427783,LoadBalancer,HighLatency,30.86076816354366,0.07778520020046797,PowerIssue
2025-05-02 16:11:37.427783,Firewall,PacketDrop,60.735638347774376,0.12095776175452344,NetworkCongestion
2025-05-02 16:12:07.427783,Server,Overload,18.51650454162026,0.9877058097161979,SoftwareBug
2025-05-02 16:12:37.427783,Router,Overload,62.69162793138956,0.487600821398706,NetworkCongestion
2025-05-02 16:13:07.427783,Router,PacketDrop,17.37988571352397,0.23821405282914765,PowerIssue
2025-05-02 16:13:37.427783,BaseStation,Overload,6.382603470971359,0.769664488498658,DDoSAttack
2025-05-02 16:14:07.427783,BaseStation,PowerFailure,33.0357688699061,0.264285221212482,DDoSAttack
2025-05-02 16:14:37.427783,Switch,ConfigError,23.11403420098477,0.7272156880186423,Misconfiguration
2025-05-02 16:15:07.427783,Server,ConnectionReset,88.89916385563323,0.8372857778497611,NetworkCongestion
2025-05-02 16:15:37.427783,Server,PowerFailure,5.49534538686266,0.7842633772952806,SoftwareBug
2025-05-02 16:16:07.427783,LoadBalancer,ConfigError,17.661369257412286,0.2740478081979354,PowerIssue
2025-05-02 16:16:37.427783,LoadBalancer,ConfigError,54.87196055830494,0.40161857407923707,NetworkCongestion
2025-05-02 16:17:07.427783,LoadBalancer,Overload,48.10671908474736,0.41325100323327635,Misconfiguration
2025-05-02 16:17:37.427783,BaseStation,HighLatency,4.585201837470154,0.4912729181044718,HardwareFailure
2025-05-02 16:18:07.427783,Server,HighLatency,0.7252428015144474,0.16737285154013604,DDoSAttack
2025-05-02 16:18:37.427783,Server,Overload,98.80679419611499,0.4524700504143424,SoftwareBug
2025-05-02 16:19:07.427783,Router,Overload,65.88347003588382,0.5107829905154797,DDoSAttack
2025-05-02 16:19:37.427783,BaseStation,PacketDrop,36.54061309015568,0.5317089965810524,NetworkCongestion
2025-05-02 16:20:07.427783,Firewall,PacketDrop,47.04322476632413,0.8199004299844582,NetworkCongestion
2025-05-02 16:20:37.427783,BaseStation,ConnectionReset,26.655012045428695,0.5173344984794952,HardwareFailure
2025-05-02 16:21:07.427783,Firewall,ConnectionReset,34.48737836932098,0.2307839225136752,PowerIssue
